Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	0	0	-90	-0.9999999997299395	-3.5008272270408244e-10	0.6522870530809171
0	-90	0	0	0	-45	-0.9999999997839515	-2.8006617816326596e-10	0.7218296424647337
0	-90	0	0	0	0	-0.9999999998271611	-2.2405294253061276e-10	0.777463713971787
0	-90	0	0	0	45	-0.9999999998617288	-1.792423540244902e-10	0.8219709711774297
0	-90	0	0	0	90	-0.999999999889383	-1.4339388321959216e-10	0.8575767769419438
0	-90	0	0	40	-90	-1.3554393556126945	-1.1773727433845602	8.981263149267543
0	-90	0	0	40	-45	-0.6082292091265775	-2.0824326900424097	15.4272847244861
0	-90	0	0	40	0	0.5025518116592242	-1.8835891102050848	20.642560233389915
0	-90	0	0	40	45	0.9293543573703202	-0.8291529613231887	25.16191120388105
0	-90	0	0	40	90	0.21167711319689642	0.11332052109703561	28.68237854913124
0	-90	0	0	80	-90	-0.9596702327048363	-1.578638133076249	39.82901253892409
0	-90	0	0	80	-45	0.017949366330658467	-2.9007179690921188	48.49343397321253
0	-90	0	0	80	0	1.7464825649567781	-2.232991309522011	55.52459220612386
0	-90	0	0	80	45	2.1979819599924264	0.07283538197041928	61.40556273456307
0	-90	0	0	80	90	0.6213142717455515	2.043834590851278	66.22147486267744
0	-90	0	0	120	-90	-0.3344699092056326	-0.5064898244688094	78.30353840785152
0	-90	0	0	120	-45	0.8113920307836427	-2.483782874756826	87.70933718528944
0	-90	0	0	120	0	2.661777645683755	-2.2863646113289793	95.25911002191634
0	-90	0	0	120	45	3.1640454006672516	-0.3005474827695067	101.50571679005265
0	-90	0	0	120	90	1.5657677004053625	1.4587094207637128	106.63063200861987
0	-90	0	0	160	-90	0.5433617278851952	-1.2614457969591804	118.99357184889178
0	-90	0	0	160	-45	1.656288679255752	-3.3192602104955533	128.6073375891758
0	-90	0	0	160	0	3.479711865513348	-3.103360694345704	136.27491958172922
0	-90	0	0	160	45	3.90728267869013	-1.0263793085840867	142.55808042608348
0	-90	0	0	160	90	2.163272691982354	0.8412970868534619	147.6684112750881
0	-90	0	0	200	-90	0.9808495158615345	-1.8293504751564995	160.03185748450866
0	-90	0	0	200	-45	2.0170796707188696	-3.8002618420913024	169.61787755980527
0	-90	0	0	200	0	3.798639431244977	-3.448682409276646	177.20668183634007
0	-90	0	0	200	45	4.155723094117205	-1.2238564064698534	183.35410211759822
0	-90	0	0	200	90	2.2979336489467928	0.7533081624241693	188.30988254180687
0	-90	0	0	240	-90	0.7669217353729403	-1.4667637194189016	192.1769018556446
0	-90	0	0	240	-45	1.6024694581222336	-3.100883009138656	194.9552612116316
0	-90	0	0	240	0	3.2713627849263487	-2.5011553582045534	197.05785799953796
0	-90	0	0	240	45	3.5524522393879576	-0.12336148285991388	198.76572529257916
0	-90	0	0	240	90	1.6429225037016888	1.906449632109433	200.14873848957066
0	-90	0	45	0	-90	-0.9999999997259884	-3.4719041842267434e-10	0.6522870755709627
0	-90	0	45	0	-45	-0.9999999997807907	-2.777523347381395e-10	0.7218296604567702
0	-90	0	45	0	0	-0.9999999998246325	-2.2220186779051158e-10	0.7774637283654162
0	-90	0	45	0	45	-0.999999999859706	-1.7776149423240928e-10	0.821970982692333
0	-90	0	45	0	90	-0.9999999998877648	-1.4220919538592742e-10	0.8575767861538665
0	-90	0	45	40	-90	-1.355439357011575	-1.1773727455598053	8.981263156515848
0	-90	0	45	40	-45	-0.6082292106446096	-2.082432691872848	15.427284730271747
0	-90	0	45	40	0	0.5025518101589997	-1.8835891115697656	20.642560238061062
0	-90	0	45	40	45	0.9293543556976614	-0.8291529618881772	25.16191120799514
0	-90	0	45	40	90	0.2116771111594007	0.11332052055345099	28.682378552430272
0	-90	0	45	80	-90	-0.9596702931013041	-1.578638093445241	39.829012543931384
0	-90	0	45	80	-45	0.01794933124178666	-2.9007179326110593	48.493433980126504
0	-90	0	45	80	0	1.7464825391001844	-2.23299128502753	55.52459221184365
0	-90	0	45	80	45	2.197981942566576	0.0728353998878899	61.40556273737344
0	-90	0	45	80	90	0.6213142702995282	2.0438345996352663	66.22147486248657
0	-90	0	45	120	-90	-0.33446993382661927	-0.5064896551844309	78.30353841342661
0	-90	0	45	120	-45	0.8113920142744251	-2.4837827731086644	87.7093371917953
0	-90	0	45	120	0	2.661777622757052	-2.286364550476209	95.25911002574865
0	-90	0	45	120	45	3.1640454095462065	-0.3005473963293619	101.50571679230518
0	-90	0	45	120	90	1.5657676027404515	1.458709479559915	106.63063201583319
