Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	0	80	-45	0.5063125663469938	-4.282732002077388	48.67911706698277
0	-90	0	0	80	0	3.1395545404041485	-3.3513419298891707	55.59542993876536
0	-90	0	0	80	45	3.8581983430963223	0.042047913533517	61.60773570115475
0	-90	0	0	80	90	1.5261797504310857	2.944697713017602	66.61950166187674
0	-90	0	0	120	-90	-0.011423715853630112	-0.6863304616495673	78.7734616479553
0	-90	0	0	120	-45	1.6204102761966337	-3.510852413147139	87.97426673762797
0	-90	0	0	120	0	4.332399301687284	-3.1120824697276745	95.35444046934089
0	-90	0	0	120	45	5.048599815750691	-0.08051212830745413	101.64203318201963
0	-90	0	0	120	90	2.644323716712982	2.575491762532068	106.93214287839433
0	-90	0	0	160	-90	0.9914257307523906	-1.2816823714638104	119.40761357377612
0	-90	0	0	160	-45	2.575612392452058	-4.233668103925791	128.84828324316044
0	-90	0	0	160	0	5.262894177805659	-3.8389773632810122	136.3462321524068
0	-90	0	0	160	45	5.894647285004305	-0.7185427179750277	142.65199277862453
0	-90	0	0	160	90	3.308184370765959	2.0431870387212157	147.91814220164576
0	-90	0	45	0	-90	-0.9999999996532811	-4.4773874294111146e-10	0.7177318888016835
0	-90	0	45	0	-45	-0.9999999997226249	-3.581909943528892e-10	0.7741855110413468
0	-90	0	45	0	0	-0.9999999997780998	-2.8655279548231133e-10	0.8193484088330775
0	-90	0	45	0	45	-0.9999999998224798	-2.2924223638584907e-10	0.855478727066462
0	-90	0	45	0	90	-0.9999999998579838	-1.8339378910867926e-10	0.8843829816531696
0	-90	0	45	40	-90	-1.5957047681339334	-1.6594326245426128	8.981336683099377
0	-90	0	45	40	-45	-0.5228629623094385	-2.9311941496440026	15.366630082798862
0	-90	0	45	40	0	1.105403223207435	-2.566254812700476	20.577393203337575
0	-90	0	45	40	45	1.7581198416657111	-0.9981152395113395	25.419194852160935
0	-90	0	45	40	90	0.6688834090667395	0.45527935299158107	29.098769296124367
0	-90	0	45	80	-90	-1.0138034189913225	-2.2068596161378933	40.25722619525308
0	-90	0	45	80	-45	0.5063125975701144	-4.282732057824518	48.67911674262961
0	-90	0	45	80	0	3.1395545656163106	-3.351341999086659	55.595429678844454
0	-90	0	45	80	45	3.8581983527209687	0.04204780175448297	61.6077354942696
0	-90	0	45	80	90	1.5261797641225123	2.944697613475281	66.61950150173958
0	-90	0	45	120	-90	-0.011423669768242606	-0.6863304512848383	78.77346151663203
0	-90	0	45	120	-45	1.6204103413681956	-3.510852431015108	87.97426663198064
0	-90	0	45	120	0	4.3323994141728654	-3.1120825016624805	95.35444038044109
0	-90	0	45	120	45	5.048599799386926	-0.08051216984384357	101.64203312208306
0	-90	0	45	120	90	2.6443235335899087	2.575491693548539	106.9321428479459
0	-90	0	45	160	-90	0.9914256113628084	-1.2816827358081904	119.4076135351902
0	-90	0	45	160	-45	2.5756124288210236	-4.233668430520766	128.8482832000059
0	-90	0	45	160	0	5.262894209697762	-3.8389781019654006	136.34623208377218
0	-90	0	45	160	45	5.894647510151335	-0.7185430191407334	142.6519927539252
0	-90	0	45	160	90	3.3081847118022623	2.043186851848579	147.91814218670007
0	-90	0	90	0	-90	-0.9999999996352409	-4.378929663966047e-10	0.7177318741170287
0	-90	0	90	0	-45	-0.9999999997081926	-3.503143731172838e-10	0.774185499293623
0	-90	0	90	0	0	-0.9999999997665541	-2.80251498493827e-10	0.8193483994348985
0	-90	0	90	0	45	-0.9999999998132432	-2.242011987950616e-10	0.8554787195479188
0	-90	0	90	0	90	-0.9999999998505945	-1.7936095903604929e-10	0.884382975638335
0	-90	0	90	40	-90	-1.5957047685512427	-1.659432622488283	8.981336678345423
0	-90	0	90	40	-45	-0.5228629629305721	-2.931194147161089	15.366630079137595
0	-90	0	90	40	0	1.105403222207518	-2.5662548108503067	20.57739320044487
0	-90	0	90	40	45	1.7581198414677612	-0.9981152367537147	25.419194849413763
0	-90	0	90	40	90	0.668883409116892	0.45527935512035067	29.098769293515172
0	-90	0	90	80	-90	-1.0138034050024307	-2.2068595825048414	40.25722619282335
0	-90	0	90	80	-45	0.5063126039106898	-4.282732055437443	48.67911674008418
0	-90	0	90	80	0	3.139554565713002	-3.3513419655889427	55.59542968033555
0	-90	0	90	80	45	3.85819837865197	0.042047828872056936	61.60773548966821
0	-90	0	90	80	90	1.5261797772164138	2.944697631146568	66.61950149866935
