Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-45	80	-90	-0.9859019059296794	-1.8249757168303817	39.984028608359125
0	-90	0	-45	80	-45	0.20954831677783248	-3.450142022474677	48.55969861791648
0	-90	0	-45	80	0	2.3010540330011278	-2.67825969633261	55.54892242174997
0	-90	0	-45	80	45	2.859069590084122	0.06304651108859893	61.478077644320834
0	-90	0	-45	80	90	0.9795857198382718	2.4073678108540295	66.36603411914327
0	-90	0	-45	120	-90	-0.20963581875024295	-0.5760838573984621	78.47239401730906
0	-90	0	-45	120	-45	1.1312888635118696	-2.8929988352349643	87.80258325601199
0	-90	0	-45	120	0	3.3274421297334316	-2.6162262500526703	95.29114413366901
0	-90	0	-45	120	45	3.9158762131693585	-0.21179178599130255	101.55417940811705
0	-90	0	-45	120	90	1.994351808240545	1.9068521395359186	106.74051804457787
0	-90	0	-45	160	-90	0.7189398378934932	-1.2690437589317498	119.14175813767879
0	-90	0	-45	160	-45	2.021071434650541	-3.684759540061198	128.69142403658822
0	-90	0	-45	160	0	4.1911397771044365	-3.397986155389263	136.29820716819492
0	-90	0	-45	160	45	4.700844779853674	-0.9030445512828664	142.59137200006506
0	-90	0	-45	160	90	2.6187129756202814	1.322918874652781	147.75944331141307
0	-90	0	-45	200	-90	1.1672412722716934	-1.8204458129296346	160.17282708142625
0	-90	0	-45	200	-45	2.3936227944437225	-4.159947022551215	169.7042432480785
0	-90	0	-45	200	0	4.528865365017844	-3.73742714004216	177.23431794526434
0	-90	0	-45	200	45	4.967889569210796	-1.0892582567567293	183.38523185259524
0	-90	0	-45	200	90	2.76125975694713	1.2481830461997623	188.39191795727328
0	-90	0	0	0	-90	-0.9999999996761585	-4.06550138905004e-10	0.6683986923657461
0	-90	0	0	0	-45	-0.9999999997409268	-3.252401111240032e-10	0.7347189538925969
0	-90	0	0	0	0	-0.9999999997927413	-2.6019208889920253e-10	0.7877751631140776
0	-90	0	0	0	45	-0.9999999998341931	-2.0815367111936201e-10	0.8302201304912621
0	-90	0	0	0	90	-0.9999999998673544	-1.665229368954896e-10	0.8641761043930097
0	-90	0	0	40	-90	-1.4515270775279434	-1.3702139898948484	8.977996102471698
0	-90	0	0	40	-45	-0.5741621948790601	-2.422131132709272	15.401414776405872
0	-90	0	0	40	0	0.7436047803060795	-2.1568997405339863	20.615054204614083
0	-90	0	0	40	45	1.2569341097212003	-0.8907071806014379	25.255259567649667
0	-90	0	0	40	90	0.38944022284766644	0.25625535374530983	28.833229380100583
0	-90	0	0	80	-90	-0.9858987211860691	-1.8249804114372496	39.98398592835856
0	-90	0	0	80	-45	0.20955179681463731	-3.4501473562193192	48.55966445751082
0	-90	0	0	80	0	2.3010576410534425	-2.6782657581223903	55.548895112412964
0	-90	0	0	80	45	2.859073513945426	0.063039703053823	61.47805591892286
0	-90	0	0	80	90	0.9795901944370891	2.407360504941798	66.36601692550465
0	-90	0	0	120	-90	-0.2096311902304986	-0.5760907720991373	78.47238034471218
0	-90	0	0	120	-45	1.131293307287118	-2.893005577661986	87.8025723408164
0	-90	0	0	120	0	3.327446327094351	-2.6162329653539653	95.29113548411419
